nome;squadra;ruolo;nazionalita;eta;numero;gol;presenze
Lionel Messi;Inter Miami;Attaccante;Argentina;38;10;820;1050
Cristiano Ronaldo;Al-Nassr;Attaccante;Portogallo;41;7;900;1200
Kylian Mbappe;Real Madrid;Attaccante;Francia;27;9;310;420
Erling Haaland;Manchester City;Attaccante;Norvegia;25;9;250;300
Vinicius Junior;Real Madrid;Attaccante;Brasile;25;7;140;330
Jude Bellingham;Real Madrid;Centrocampista;Inghilterra;22;5;90;280
Kevin De Bruyne;Napoli;Centrocampista;Belgio;34;17;180;650
Mohamed Salah;Liverpool;Attaccante;Egitto;33;11;320;640
Harry Kane;Bayern Monaco;Attaccante;Inghilterra;32;9;400;650
Luka Modric;Milan;Centrocampista;Croazia;40;14;120;900
Lautaro Martinez;Inter;Attaccante;Argentina;28;10;160;380
Rafael Leao;Milan;Attaccante;Portogallo;26;10;80;280
Federico Dimarco;Inter;Difensore;Italia;28;32;30;250
Gianluigi Donnarumma;Manchester City;Portiere;Italia;27;1;0;420
Pedri;Barcellona;Centrocampista;Spagna;23;8;40;210
Gavi;Barcellona;Centrocampista;Spagna;21;6;20;160
Bukayo Saka;Arsenal;Attaccante;Inghilterra;24;7;70;290
Phil Foden;Manchester City;Centrocampista;Inghilterra;25;47;90;330
Florian Wirtz;Liverpool;Centrocampista;Germania;22;10;50;180
Nicolo Barella;Inter;Centrocampista;Italia;29;23;40;400
