player_name;position;team;goals
Memphis Zerrouki;Forward;Netherlands;24
Kasey Hector;Forward;Jamaica;16
Dominik Kramaric;Forward;Croatia;15
Eric Rodriguez;Forward;Panama;15
Mohannad Majeed;Forward;Iraq;15
Vinicius Nunes;Forward;Brazil;15
Eric Mba;Forward;Cameroon;14
Randal Duarte;Forward;Costa Rica;14
Abdelaziz Abdulla;Forward;Qatar;13
Andre Bassogog;Forward;Cameroon;13
Gianluigi Calafiori;Forward;Italy;13
Paolo Gonzalez;Forward;Peru;13
Saleh Al-Qahtani;Forward;Saudi Arabia;13
Saman Azmoun;Forward;Iran;13
Themba Xoki;Forward;South Africa;13
Akram Al-Ahmad;Forward;Qatar;12
Andrew Jack;Forward;Scotland;12
Bernardo Pepe;Forward;Portugal;12
Celso Campbell;Forward;Costa Rica;12
Federico Colpani;Forward;Italy;12
