NOC;Medaglie
USA;1052
FRA;438
GBR;413
URS;370
ITA;369
GER;327
SWE;222
AUS;214
CAN;206
NOR;182
RUS;178
HUN;169
GDR;163
NED;152
ROU;140
SUI;128
CHN;106
ESP;86
FRG;79
BRA;79
DEN;72
POL;72
CUB;70
BEL;68
BUL;58
TCH;58
NZL;53
JPN;50
AUT;50
FIN;46
KOR;44
ARG;42
TUR;41
YUG;37
EUN;34
UKR;33
GRE;32
JAM;31
BLR;29
ETH;25
MEX;24
RSA;22
KEN;17
MAR;16
CRO;13
IND;13
CZE;13
NGR;13
SLO;11
TPE;11
KAZ;11
BAH;10
AZE;10
TTO;10
SRB;9
POR;9
PAK;9
IRI;8
IRL;8
ZIM;8
LTU;8
MGL;8
COL;7
UZB;7
LAT;7
CHI;6
VEN;6
ANZ;6
PRK;5
URU;5
SCG;5
GEO;5
INA;5
ARM;5
EGY;5
ALG;4
THA;4
MAS;4
EST;4
PUR;3
QAT;3
SGP;3
KSA;3
SVK;3
GHA;3
IOA;3
TJK;3
UAR;2
TUN;2
SYR;2
NIG;2
PER;2
LUX;2
KUW;2
LIB;2
CMR;2
HAI;2
ISL;2
AHO;1
BOT;1
DOM;1
FIJ;1
CIV;1
JOR;1
ISR;1
IRQ;1
GUA;1
GUY;1
MDA;1
KGZ;1
MNE;1
PAR;1
PHI;1
NEP;1
SEN;1
TAN;1
UGA;1
TOG;1
UAE;1
