NOC,Gold,Silver,Bronze,Totale
USA,747,448,366.0,1561.0
FRA,185,218,257.0,660.0
ITA,217,193,194.0,604.0
GBR,211,207,186.0,604.0
URS,216,150,149.0,515.0
GER,148,142,144.0,434.0
AUS,98,124,151.0,373.0
SWE,84,136,145.0,365.0
CAN,119,114,127.0,360.0
NED,62,94,116.0,272.0
NOR,104,94,68.0,266.0
HUN,94,67,80.0,241.0
RUS,74,70,83.0,227.0
GDR,77,60,66.0,203.0
ROU,46,61,91.0,198.0
SUI,44,70,66.0,180.0
ESP,38,87,53.0,178.0
BRA,32,65,76.0,173.0
BEL,35,70,57.0,162.0
CHN,50,39,33.0,122.0
DEN,44,45,32.0,121.0
FRG,36,44,39.0,119.0
CUB,39,39,33.0,111.0
ARG,25,36,32.0,93.0
YUG,31,39,21.0,91.0
POL,13,27,47.0,87.0
TCH,16,43,26.0,85.0
NZL,36,18,18.0,72.0
BUL,13,32,27.0,72.0
AUT,16,28,13.0,57.0
JPN,18,16,21.0,55.0
FIN,8,18,28.0,54.0
KOR,21,19,13.0,53.0
EUN,25,12,15.0,52.0
JAM,18,20,8.0,46.0
PAK,20,16,9.0,45.0
TUR,17,11,13.0,41.0
GRE,11,16,12.0,39.0
UKR,9,10,19.0,38.0
NGR,10,12,16.0,38.0
MEX,12,5,19.0,36.0
IND,28,2,4.0,34.0
BLR,8,11,13.0,32.0
CRO,12,9,10.0,31.0
RSA,6,9,12.0,27.0
ETH,12,3,10.0,25.0
SRB,3,7,10.0,20.0
KEN,6,8,4.0,18.0
CZE,5,2,11.0,18.0
MAR,5,4,7.0,16.0
TPE,2,8,6.0,16.0
TTO,5,4,6.0,15.0
BAH,6,5,4.0,15.0
POR,1,3,10.0,14.0
ZIM,7,4,1.0,12.0
SCG,2,6,4.0,12.0
SLO,2,2,7.0,11.0
KAZ,3,5,3.0,11.0
AZE,1,4,5.0,10.0
ANZ,7,2,1.0,10.0
MGL,1,1,6.0,8.0
IRI,1,4,3.0,8.0
IRL,2,1,5.0,8.0
COL,1,4,2.0,7.0
UZB,4,1,2.0,7.0
EGY,2,2,1.0,5.0
INA,2,1,2.0,5.0
PRK,2,2,1.0,5.0
ARM,1,1,3.0,5.0
ALG,1,1,2.0,4.0
THA,1,1,2.0,4.0
CMR,7,1,8.0,
TJK,1,2,3.0,
JOR,1,1,,
PUR,1,2,3.0,
GHA,11,11,,
URU,13,12,25.0,
LTU,3,9,12.0,
CHI,5,4,9.0,
UGA,1,1,,
SYR,1,1,2.0,
QAT,1,2,3.0,
KUW,2,2,,
IOA,1,2,3.0,
KSA,1,4,5.0,
UAE,1,1,,
NIG,1,1,2.0,
LUX,1,1,2.0,
BOT,1,1,,
TUN,2,2,,
GUY,1,1,,
ISR,1,1,,
GEO,1,4,5.0,
ISL,3,3,,
HAI,1,2,3.0,
MAS,3,1,4.0,
IRQ,1,1,,
SVK,1,2,3.0,
PAR,11,11,,
MNE,4,4,,
GUA,1,1,,
TAN,1,1,,
LIB,1,1,2.0,
KGZ,1,1,,
LAT,6,1,7.0,
AHO,1,1,,
VEN,6,6,,
TOG,1,1,,
PER,4,4,,
EST,1,4,5.0,
NEP,1,1,,
MDA,1,1,,
CIV,1,1,,
FIJ,2,2,,
SEN,1,1,,
DOM,1,1,,
PHI,1,1,,
UAR,1,1,2.0,
SGP,1,2,3.0,
