ID,Titolo,Genere,Anno,Valutazione
1,Libro 1,Giallo,2001,3.1
2,Libro 2,Fantascienza,2002,3.2
3,Libro 3,Storico,2003,3.3
4,Libro 4,Avventura,2004,3.4
5,Libro 5,Fantasy,2005,3.5
6,Libro 6,Giallo,2006,3.6
7,Libro 7,Fantascienza,2007,3.7
8,Libro 8,Storico,2008,3.8
9,Libro 9,Avventura,2009,3.9
10,Libro 10,Fantasy,2010,4.0
11,Libro 11,Giallo,2011,4.1
12,Libro 12,Fantascienza,2012,4.2
13,Libro 13,Storico,2013,4.3
14,Libro 14,Avventura,2014,4.4
15,Libro 15,Fantasy,2015,4.5
16,Libro 16,Giallo,2016,4.6
17,Libro 17,Fantascienza,2017,4.7
18,Libro 18,Storico,2018,4.8
19,Libro 19,Avventura,2019,4.9
20,Libro 20,Fantasy,2020,3.0
21,Libro 21,Giallo,2021,3.1
22,Libro 22,Fantascienza,2022,3.2
23,Libro 23,Storico,2023,3.3
24,Libro 24,Avventura,2024,3.4
25,Libro 25,Fantasy,2000,3.5
26,Libro 26,Giallo,2001,3.6
27,Libro 27,Fantascienza,2002,3.7
28,Libro 28,Storico,2003,3.8
29,Libro 29,Avventura,2004,3.9
30,Libro 30,Fantasy,2005,4.0
31,Libro 31,Giallo,2006,4.1
32,Libro 32,Fantascienza,2007,4.2
33,Libro 33,Storico,2008,4.3
34,Libro 34,Avventura,2009,4.4
35,Libro 35,Fantasy,2010,4.5
36,Libro 36,Giallo,2011,4.6
37,Libro 37,Fantascienza,2012,4.7
38,Libro 38,Storico,2013,4.8
39,Libro 39,Avventura,2014,4.9
40,Libro 40,Fantasy,2015,3.0
41,Libro 41,Giallo,2016,3.1
42,Libro 42,Fantascienza,2017,3.2
43,Libro 43,Storico,2018,3.3
44,Libro 44,Avventura,2019,3.4
45,Libro 45,Fantasy,2020,3.5
46,Libro 46,Giallo,2021,3.6
47,Libro 47,Fantascienza,2022,3.7
48,Libro 48,Storico,2023,3.8
49,Libro 49,Avventura,2024,3.9
50,Libro 50,Fantasy,2000,4.0
