Marco, Bohemian Rhapsody, Queen, 355
Marco, Imagine, John Lennon, 183
Marco, Hotel California, Eagles, 391
Marco, Stairway to Heaven, Led Zeppelin, 482
Marco, Yesterday, The Beatles, 125
Luca, Imagine, John Lennon, 183
Luca, Smells Like Teen Spirit, Nirvana, 301
Luca, Wonderwall, Oasis, 258
Luca, Hotel California, Eagles, 391
Sara, Bohemian Rhapsody, Queen, 355
Sara, Shape of You, Ed Sheeran, 234
Sara, Imagine, John Lennon, 183
Sara, Rolling in the Deep, Adele, 228
Sara, Bad Guy, Billie Eilish, 194
Giulia, Shape of You, Ed Sheeran, 234
Giulia, Blinding Lights, The Weeknd, 200
Giulia, Bad Guy, Billie Eilish, 194
Andrea, Smells Like Teen Spirit, Nirvana, 301
Andrea, Stairway to Heaven, Led Zeppelin, 482
Andrea, Comfortably Numb, Pink Floyd, 382
Andrea, Bohemian Rhapsody, Queen, 355
Chiara, Rolling in the Deep, Adele, 228
Chiara, Someone Like You, Adele, 285
Chiara, Imagine, John Lennon, 183
Chiara, Yesterday, The Beatles, 125
Davide, Wonderwall, Oasis, 258
Davide, Comfortably Numb, Pink Floyd, 382
Davide, Hotel California, Eagles, 391
Davide, Sweet Child o' Mine, Guns N' Roses, 356
Davide, Bohemian Rhapsody, Queen, 355
Elena, Blinding Lights, The Weeknd, 200
Elena, Bad Guy, Billie Eilish, 194
Elena, Shape of You, Ed Sheeran, 234
Francesco, Sweet Child o' Mine, Guns N' Roses, 356
Francesco, Stairway to Heaven, Led Zeppelin, 482
Francesco, Imagine, John Lennon, 183
Francesco, Smells Like Teen Spirit, Nirvana, 301
Francesco, Yesterday, The Beatles, 125
Valentina, Someone Like You, Adele, 285
Valentina, Rolling in the Deep, Adele, 228
Valentina, Blinding Lights, The Weeknd, 200
Valentina, Wonderwall, Oasis, 258
