IMPRESA,INDIRIZZO,COMUNE,CATEGORIA,SOTTOCATEGORIA,POSIZIONE,CODICE,DENOMINAZIONE URBANISTICA GENERICA,DENOMINAZIONE UFFICIALE,LOCALITA’,NUMERO CIVICO,ESPONENTE,CODICE POSTALE,CODICE ASSEGNATO AI COMUNI DA ISTAT,COMUNITA’ DI VALLE,TELEFONO,E-MAIL,SITO INTERNET,LATITUDINE,LONGITUDINE,POSITION
FOTOGRAFICA TRINTINAGLIA UMBERTO S.N.C.,"CORSO VICENZA, 47",BORGO VALSUGANA,SETTORE NON ALIMENTARE,ARTIGIANO,"46.05512,11.47309",3,CORSO,VICENZA,,47,,38051,022022,COMUNITA' VALSUGANA E TESINO,0461-757351,foto@trintinaglia.com,https://www.trintinaglia.com/,46.05512,11.47309,
BAR SERAFINI DI MINATI RENZO,"LOCALITA' SERAFINI, 24",GRIGNO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.00462,11.66070",4,,,SERAFINI,24,,38055,022095,COMUNITA' VALSUGANA E TESINO,0461-769157,,,46.00462,11.66070,
SEMBENINI GINO & FIGLI S.R.L.,"VIA SAN FRANCESCO, 35",RIVA DEL GARDA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.88591,10.84445",6,VIA,SAN FRANCESCO,,35,,38066,022153,COMUNITA' ALTO GARDA E LEDRO,0464-552128,gino@sembenini.it,http://www.sembenini.it/,45.88591,10.84445,
HOTEL RISTORANTE PIZZERIA ALLA NAVE,"VIA NAZIONALE, 29 - NAVE SAN FELICE",LAVIS,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.16506,11.11247",7,VIA,NAZIONALE,NAVE SAN FELICE,29,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,0461-870131,info@hotelallanave.it,https://www.hotelallanave.it/,46.16506,11.11247,
OBRELLI GIOIELLERIA DAL 1929 S.R.L.,"VIA ROMA, 27-33",LAVIS,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13844,11.11441",8,VIA,ROMA,,27,33,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,0461-242040,info@obrelli.it,https://obrelli.it/,46.13844,11.11441,
MACELLERIE TROIER S.A.S. DI TROIER DARIO E C.,"VIA ROMA, 13",LAVIS,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13841,11.11481",9,VIA,ROMA,,13,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,0461-246317,info@troier.it - negozio@troier.it,https://www.carnitroier.it/,46.13841,11.11481,
NARDELLI TIZIANO,"PIAZZA GIANNANTONIO MANCI, 5",LAVIS,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13860,11.11416",10,PIAZZA,GIANNANTONIO MANCI,,5,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,0461-241174,,,46.13860,11.11416,
PASTICCERIA SILVANO DI ANDREOLLI SILVANO& C.,"VIA GIACOMO MATTEOTTI, 37",LAVIS,SETTORE ALIMENTARE,ARTIGIANO,"46.13905,11.11260",11,VIA,GIACOMO MATTEOTTI,,37,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,0461-246654,info@pasticceriasilvano.it,https://www.pasticceriasilvano.it/,46.13905,11.11260,
LONA S.N.C. DI LONA ROBERTO & C.,"PIAZZA GIANNANTONIO MANCI, 1",LAVIS,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13797,11.11377",13,PIAZZA,GIANNANTONIO MANCI,,1,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,0461-246396,commerciale@emporiolona.it,https://ferramentalona.it/,46.13797,11.11377,
GADOTTI CALZATURE DI GADOTTI MARCO,"VIA GIACOMO MATTEOTTI, 59",LAVIS,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13950,11.11175",14,VIA,GIACOMO MATTEOTTI,,59,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,0461-246381,gadotticalzature@gmail.com,https://www.facebook.com/gadotticalzature/,46.13950,11.11175,
TURCO CALZATURE DI TURCO CORRADO,"VIA FABIO FILZI, 1",LAVIS,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13851,11.11399",16,VIA,FABIO FILZI,,1,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,0461-240418 – 347 789 6365,calzatureturco@tin.it,https://www.facebook.com/p/Calzature-Pelletterie-Turco,46.13851,11.11399,
